date,product,category,price,quantity,customer_id
2024-02-09,Bookshelf,Furniture,149.99,1,C1075
2024-02-09,Desk Mat,Electronics,19.99,7,C1076
2024-02-09,Monitor,Electronics,299.99,1,C1077
2024-02-10,USB Hub,Electronics,24.99,6,C1078
2024-02-10,Laptop,Electronics,899.99,2,C1079
2024-02-10,Headphones,Electronics,79.99,5,C1080
2024-02-11,Webcam,Electronics,59.99,4,C1081
2024-02-11,Desk Lamp,Furniture,24.99,8,C1082
2024-02-11,Office Chair,Furniture,199.99,1,C1083
2024-02-12,Mouse,Electronics,19.99,9,C1084
2024-02-12,Keyboard,Electronics,49.99,5,C1085
2024-02-12,Standing Desk,Furniture,399.99,1,C1086
2024-02-13,Monitor Arm,Electronics,89.99,3,C1087
2024-02-13,USB Cable,Electronics,9.99,13,C1088
2024-02-13,Mouse Pad,Electronics,12.99,10,C1089
2024-02-14,Laptop Stand,Electronics,34.99,4,C1090
2024-02-14,Wireless Mouse,Electronics,29.99,7,C1091
2024-02-14,Cable Organizer,Electronics,14.99,9,C1092
2024-02-15,Mechanical Keyboard,Electronics,129.99,2,C1093
2024-02-15,Bookshelf,Furniture,149.99,2,C1094
2024-02-15,Desk Mat,Electronics,19.99,6,C1095
2024-02-16,Monitor,Electronics,299.99,2,C1096
2024-02-16,USB Hub,Electronics,24.99,5,C1097
2024-02-16,Laptop,Electronics,899.99,1,C1098
2024-02-17,Headphones,Electronics,79.99,4,C1099
2024-02-17,Webcam,Electronics,59.99,3,C1100
